maneuver,episode,seed,forced_ego_zero_speed,crashed_after_one_step,terminated,truncated,initial_dist_center,initial_speed,post_step_dist_center,post_step_ego_speed,conflict_ttc,initial_vehicle_count,spawn_probability,duration,negotiating_traffic
left,6,151006,True,False,False,False,54.296566009521484,10.0,54.296566009521484,0.0,inf,6,0.35,22,False
left,7,151007,True,False,False,False,55.476192474365234,10.0,55.476192474365234,0.0,inf,6,0.35,22,False
left,8,151008,True,False,False,False,47.472049713134766,10.0,47.472049713134766,0.0,inf,6,0.35,22,False
left,9,151009,True,False,False,False,41.33265686035156,10.0,41.33265686035156,0.0,inf,6,0.35,22,False
left,10,151010,True,False,False,False,43.78514099121094,10.0,43.78514099121094,0.0,inf,6,0.35,22,False
left,11,151011,True,False,False,False,48.19620895385742,10.0,48.19620895385742,0.0,inf,6,0.35,22,False
left,12,151012,True,False,False,False,53.87870407104492,10.0,53.87870407104492,0.0,inf,6,0.35,22,False
left,13,151013,True,False,False,False,45.45742416381836,10.0,45.45742416381836,0.0,inf,6,0.35,22,False
left,14,151014,True,False,False,False,47.92735290527344,10.0,47.92735290527344,0.0,inf,6,0.35,22,False
left,15,151015,True,False,False,False,50.292327880859375,10.0,50.292327880859375,0.0,inf,6,0.35,22,False
left,16,151016,True,False,False,False,46.35108947753906,10.0,46.35108947753906,0.0,inf,6,0.35,22,False
left,17,151017,True,False,False,False,46.2226676940918,10.0,46.2226676940918,0.0,inf,6,0.35,22,False
left,18,151018,True,False,False,False,52.540103912353516,10.0,52.540103912353516,0.0,inf,6,0.35,22,False
left,19,151019,True,False,False,False,50.0750846862793,10.0,50.0750846862793,0.0,inf,6,0.35,22,False
left,20,151020,True,False,False,False,51.35938262939453,10.0,51.35938262939453,0.0,inf,6,0.35,22,False
left,21,151021,True,False,False,False,36.147586822509766,10.0,36.147586822509766,0.0,inf,6,0.35,22,False
left,22,151022,True,False,False,False,45.381229400634766,10.0,45.381229400634766,0.0,inf,6,0.35,22,False
left,23,151023,True,False,False,False,53.353981018066406,10.0,53.353981018066406,0.0,inf,6,0.35,22,False
left,24,151024,True,False,False,False,44.246238708496094,10.0,44.246238708496094,0.0,inf,6,0.35,22,False
left,25,151025,True,False,False,False,50.34951400756836,10.0,50.34951400756836,0.0,inf,6,0.35,22,False
left,26,151026,True,False,False,False,41.9074821472168,10.0,41.9074821472168,0.0,inf,6,0.35,22,False
left,27,151027,True,False,False,False,47.1474494934082,10.0,47.1474494934082,0.0,inf,6,0.35,22,False
left,28,151028,True,False,False,False,46.7391242980957,10.0,46.7391242980957,0.0,inf,6,0.35,22,False
left,29,151029,True,False,False,False,51.871036529541016,10.0,51.871036529541016,0.0,inf,6,0.35,22,False
left,30,151030,True,False,False,False,48.56770706176758,10.0,48.56770706176758,0.0,inf,6,0.35,22,False
left,31,151031,True,False,False,False,49.85184860229492,10.0,49.85184860229492,0.0,inf,6,0.35,22,False
left,32,151032,True,False,False,False,42.21959686279297,10.0,42.21959686279297,0.0,inf,6,0.35,22,False
left,33,151033,True,False,False,False,48.49575424194336,10.0,48.49575424194336,0.0,inf,6,0.35,22,False
left,34,151034,True,False,False,False,52.38459014892578,10.0,52.38459014892578,0.0,inf,6,0.35,22,False
left,35,151035,True,False,False,False,51.12057876586914,10.0,51.12057876586914,0.0,inf,6,0.35,22,False
left,36,151036,True,False,False,False,47.08730697631836,10.0,47.08730697631836,0.0,inf,6,0.35,22,False
left,37,151037,True,False,False,False,45.19795227050781,10.0,45.19795227050781,0.0,inf,6,0.35,22,False
left,38,151038,True,False,False,False,43.392799377441406,10.0,43.392799377441406,0.0,inf,6,0.35,22,False
left,39,151039,True,False,False,False,42.11064910888672,10.0,42.11064910888672,0.0,inf,6,0.35,22,False
left,40,151040,True,False,False,False,52.570396423339844,10.0,52.570396423339844,0.0,inf,6,0.35,22,False
left,41,151041,True,False,False,False,47.7527961730957,10.0,47.7527961730957,0.0,inf,6,0.35,22,False
left,42,151042,True,True,True,False,38.4078483581543,10.0,38.47288131713867,0.0,inf,6,0.35,22,False
