maneuver,seed,forced_zero_steps,collided_after_forced_zero,arrived_after_forced_zero,ego_found,initial_ego_speed,ego_speed_after_step,ego_distance_from_center,vehicle_count_after_reset,min_ttc_seen,min_conflict_ttc_seen,initial_vehicle_count,spawn_probability,duration,negotiating_traffic,surrounding_vehicle_control,episode
straight,150047,3,False,False,True,10.0,0.0,36.746111429292895,8,8.277925559671846,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,47
straight,150048,3,False,False,True,10.0,0.0,49.18826785341368,7,11.50380231533099,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,48
straight,150049,3,False,False,True,10.0,0.0,43.51593593602256,9,6.264874449485522,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,49
straight,150050,3,False,False,True,10.0,0.0,48.866767099773035,11,4.6910031187628505,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,50
straight,150051,3,False,False,True,10.0,0.0,45.30502843949729,9,3.160010995501068,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,51
straight,150052,3,False,False,True,10.0,0.0,43.41116412485803,10,7.065906845762237,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,52
straight,150053,3,False,False,True,10.0,0.0,50.07869612211329,9,3.4661005390331803,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,53
straight,150054,3,False,False,True,10.0,0.0,42.349984866929695,8,4.276593573509942,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,54
straight,150055,3,False,False,True,10.0,0.0,45.69952265413436,6,4.645468497391644,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,55
straight,150056,3,False,False,True,10.0,0.0,48.90029485587163,8,12.911001832268491,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,56
straight,150057,3,False,False,True,10.0,0.0,38.24738026731231,6,3.92399707861332,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,57
straight,150058,3,False,False,True,10.0,0.0,55.93393115082845,7,8.117879955568977,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,58
straight,150059,3,False,False,True,10.0,0.0,45.04911817610795,9,7.178826211135602,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,59
straight,150060,3,False,False,True,10.0,0.0,47.82017843833254,8,4.010341530255322,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,60
straight,150061,3,False,False,True,10.0,0.0,61.5621589609914,9,15.6138324391202,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,61
straight,150062,3,False,False,True,10.0,0.0,43.596943788915794,8,6.626973538487021,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,62
straight,150063,3,False,False,True,10.0,0.0,47.978523673648574,8,14.059967139003149,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,63
straight,150064,3,False,False,True,10.0,0.0,46.40424069861369,9,2.872001780856357,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,64
straight,150065,3,False,False,True,10.0,0.0,45.19641123652164,7,7.538530385694987,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,65
straight,150066,3,False,False,True,10.0,0.0,62.785490815984396,9,58.465743506834066,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,66
straight,150067,3,False,False,True,10.0,0.0,40.592620750756154,8,10.759033532149992,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,67
straight,150068,3,False,False,True,10.0,0.0,51.78317502559907,8,3.920349828285515,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,68
straight,150069,3,False,False,True,10.0,0.0,46.67519472122769,7,8.531873296903848,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,69
straight,150070,3,False,False,True,10.0,0.0,34.88150239844283,8,5.567671735596796,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,70
straight,150071,3,False,False,True,10.0,0.0,55.44830348998197,7,16.044700469612796,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,71
straight,150072,3,False,False,True,10.0,0.0,42.344118679095175,8,5.038094150636477,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,72
straight,150073,3,False,False,True,10.0,0.0,43.66605279325436,9,4.650233527032808,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,73
straight,150074,3,False,False,True,10.0,0.0,52.10889874322155,7,7.712612638581865,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,74
straight,150075,3,False,False,True,10.0,0.0,34.70519909067189,8,9.45645513778657,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,75
straight,150076,3,False,False,True,10.0,0.0,46.7467811229252,5,4.75329680373237,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,76
straight,150077,3,False,False,True,10.0,0.0,38.97906273662404,7,5.991293156084588,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,77
straight,150078,3,False,False,True,10.0,0.0,54.01901641534312,7,7.27035010370457,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,78
straight,150079,3,False,False,True,10.0,0.0,42.511072168867344,7,5.104232728566049,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,79
straight,150080,3,False,False,True,10.0,0.0,50.71689737654698,8,13.838215426144677,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,80
straight,150081,3,False,False,True,10.0,0.0,43.102582653367364,8,10.2766979696078,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,81
straight,150082,3,False,False,True,10.0,0.0,51.039567410288704,9,6.814201789729305,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,82
straight,150083,3,False,False,True,10.0,0.0,41.065884767090765,8,13.112740105224646,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,83
straight,150084,3,False,False,True,10.0,0.0,44.73079796461334,12,9.20686288860031,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,84
straight,150085,3,False,False,True,10.0,0.0,44.624485235484535,6,6.351994208631755,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,85
straight,150086,3,False,False,True,10.0,0.0,48.95243643807546,7,6.85240250767538,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,86
straight,150087,3,False,False,True,10.0,0.0,41.758164547556895,7,10.280854903964151,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,87
straight,150088,3,False,False,True,10.0,0.0,47.73310191181714,9,2.7800915853567267,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,88
straight,150089,3,False,False,True,10.0,0.0,48.20585118762175,8,9.141467821013412,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,89
straight,150090,3,False,False,True,10.0,0.0,43.246550852426616,7,4.5710770912567025,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,90
straight,150091,3,False,False,True,10.0,0.0,49.467512194735306,7,6.13380637730171,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,91
straight,150092,3,False,False,True,10.0,0.0,43.84595703898286,9,8.01516919748266,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,92
straight,150093,3,False,False,True,10.0,0.0,46.98747794926337,9,7.344249893206713,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,93
straight,150094,3,False,False,True,10.0,0.0,52.51153460044422,8,6.62452958559483,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,94
