maneuver,agent,episode,return,steps,survival_time_s,collided,collision_count,success,timeout,time_to_collision_s,min_ttc,min_conflict_ttc,creep_zone_mean_speed,high_speed_zone_rate,creep_speed_rate,conflict_steps,mean_action_change_rate,slower_action_rate,idle_action_rate,faster_action_rate
left,left_creeping_suited_dense_bc_v2,10,217.5157382528191,80,16.0,False,0,True,False,,1.213515862208804,inf,4.339247716549203,0.0,1.0,31,0.1875,0.0875,0.8625,0.05
left,left_creeping_suited_dense_bc_v2,11,210.69497928061998,77,15.4,False,0,True,False,,2.2714605636695437,9.616698192716804,4.387910391465668,0.041666666666666664,0.9583333333333334,31,0.18181818181818182,0.09090909090909091,0.8701298701298701,0.03896103896103896
left,left_creeping_suited_dense_bc_v2,12,231.7183958533583,84,16.8,False,0,True,False,,1.6818039555866258,7.535961135498383,4.368365188854646,0.0,1.0,31,0.16666666666666666,0.09523809523809523,0.8690476190476191,0.03571428571428571
left,left_creeping_suited_dense_bc_v2,13,224.56970042686567,82,16.4,False,0,True,False,,5.148519238555117,inf,4.360698778331042,0.020833333333333332,0.9791666666666666,31,0.1951219512195122,0.0975609756097561,0.8536585365853658,0.04878048780487805
left,left_creeping_suited_dense_bc_v2,14,236.28379186187618,85,17.0,False,0,True,False,,1.7156436471144096,inf,4.325880574804991,0.0,1.0,30,0.16470588235294117,0.09411764705882353,0.8705882352941177,0.03529411764705882
left,left_creeping_suited_dense_bc_v2,15,212.0492039629798,78,15.6,False,0,True,False,,2.490933732351361,inf,4.351111535544104,0.020833333333333332,0.9791666666666666,31,0.1794871794871795,0.08974358974358974,0.8717948717948718,0.038461538461538464
left,left_creeping_suited_dense_bc_v2,16,238.92493806697144,86,17.2,False,0,True,False,,4.969327945089992,inf,4.372394429542102,0.0,1.0,31,0.16279069767441862,0.09302325581395349,0.872093023255814,0.03488372093023256
left,left_creeping_suited_dense_bc_v2,17,213.14035095711546,78,15.6,False,0,True,False,,1.7577636129675764,inf,4.351111535544104,0.020833333333333332,0.9791666666666666,31,0.1794871794871795,0.08974358974358974,0.8717948717948718,0.038461538461538464
left,left_creeping_suited_dense_bc_v2,18,223.23349938129087,82,16.4,False,0,True,False,,4.899795973911598,inf,4.339622522034918,0.0,1.0,31,0.18292682926829268,0.08536585365853659,0.8658536585365854,0.04878048780487805
left,left_creeping_suited_dense_bc_v2,19,219.83516832293265,80,16.0,False,0,True,False,,1.9596414943489426,inf,4.339247716549203,0.0,1.0,31,0.1875,0.0875,0.8625,0.05
left,left_creeping_suited_dense_bc_v2,20,-43.20820638973138,8,1.6,True,1,False,False,1.6,0.6362161294224525,7.505762646510307,0.0,0.0,0.0,0,0.5,0.125,0.75,0.125
left,left_creeping_suited_dense_bc_v2,21,213.20109355097713,78,15.6,False,0,True,False,,5.558564169177386,inf,4.351111535544104,0.020833333333333332,0.9791666666666666,31,0.1794871794871795,0.08974358974358974,0.8717948717948718,0.038461538461538464
left,left_creeping_suited_dense_bc_v2,22,220.61586429977393,81,16.2,False,0,True,False,,5.700531724405793,inf,4.339467888345404,0.0,1.0,31,0.18518518518518517,0.08641975308641975,0.8641975308641975,0.04938271604938271
left,left_creeping_suited_dense_bc_v2,23,212.9669147752651,78,15.6,False,0,True,False,,1.9052292229311447,inf,4.38769133356507,0.041666666666666664,0.9583333333333334,31,0.1794871794871795,0.08974358974358974,0.8717948717948718,0.038461538461538464
left,left_creeping_suited_dense_bc_v2,24,214.20788729034084,78,15.6,False,0,True,False,,3.6021633469642387,inf,4.360418720191775,0.020833333333333332,0.9791666666666666,31,0.19230769230769232,0.08974358974358974,0.8589743589743589,0.05128205128205128
left,left_creeping_suited_dense_bc_v2,25,227.69696458355025,82,16.4,False,0,True,False,,1.8698882353165152,inf,4.325642123228881,0.0,1.0,30,0.17073170731707318,0.0975609756097561,0.8658536585365854,0.036585365853658534
left,left_creeping_suited_dense_bc_v2,26,217.54172341639418,79,15.8,False,0,True,False,,4.923157572704008,8.935389839758415,4.368346601661,0.0,1.0,31,0.17721518987341772,0.08860759493670886,0.8734177215189873,0.0379746835443038
